학정번호,과목명,분반,이수,학점,시수,교수,요일,시간,요일,시간,비고
Z3B3D4,초급일본어1,,교선,3,3,후지무라마이,화,3,목,4,일본어50
Z3B4D3,초급일본어1,,교선,3,3,후지무라마이,화,4,목,3,일본어50
Z3B1D2,초급일본어1,,교선,3,3,김희성,화,1,목,2,일본어50
Z3B2D1,초급일본어1,,교선,3,3,김희성,화,2,목,1,일본어50
Z3E1E2,초급일본어1,,교선,3,3,이지은,금,1,금,2,일본어50
Z3E3E4,초급일본어1,,교선,3,3,이지은,금,3,금,4,일본어50
Z3C2,초급일본어2,,교선,3,3,이승영,수,2,,,일본어50.온라인50
Z3A6C5,초급일본어생활한자,,교선,3,3,다와라기하루미,월,6,수,5,
Z3E1E2,초급중국어1,,교선,3,3,양은선,금,1,금,2,
Z3E3E4,초급중국어1,,교선,3,3,양은선,금,3,금,4,
Z3B1D2,초급중국어1,,교선,3,3,고영란,화,1,목,2,
Z3B2D1,초급중국어1,,교선,3,3,고영란,화,2,목,1,
Z3A6C5,초급중국어1,,교선,3,3,김정인,월,6,수,5,중국어50
Z3B3D4,초급중국어1,,교선,3,3,김태경,화,3,목,4,중국어50
Z3B4D3,초급중국어1,,교선,3,3,김태경,화,4,목,3,중국어50
Z3A5C6,초급중국어1,,교선,3,3,김정인,월,5,수,6,중국어50
Z3B7B8B9,초급중국어1,,교선,3,3,김수정,화,7.8.9,,,중국어50
Z3B6D5,초급중국어2,,교선,3,3,김수정,화,6,목,5,중국어50
Z3A5C6,HSK연습,,교선,3,3,이명숙,월,5,수,6,중국어30
Z3B2D1,JLPT연습,,교선,3,3,권혁인,화,2,목,1,일본어35
Z3A5C6,생활일본어회화,,교선,3,3,다와라기하루미,월,5,수,6,일본어100
Z3A6C5,생활일본어회화,,교선,3,3,후지무라마이,월,6,수,5,일본어100
Z3A4C3,생활한문,,교선,3,3,김준,월,4,수,3,
Z3B5D6,생활한문,,교선,3,3,김지현,화,5,목,6,
Z3B6D5,생활한문,,교선,3,3,김지현,화,6,목,5,
Z3A5C6,생활한문,,교선,3,3,이철희,월,5,수,6,
Z3A6C5,생활한문,,교선,3,3,이철희,월,6,수,5,
Z3B7B8B9,스크린일본어,,교선,3,3,후지무라마이,화,7.8.9,,,
Z3B5B6,스크린일본어,,교선,3,3,유양근,화,5,화,6,
Z3B6D5,시청각중국어,,교선,3,3,전보옥,화,6,목,5,
Z3A5,실용일본어문법,,교선,3,3,이승영,월,5,,,일본어50.온라인50
Z3B2D1,중국문화지리,,교선,3,3,전보옥,화,2,목,1,
Z3D1D2,Jazz_Rock_Ensemble,음악실기수업,교선,3,3,노정진,목,1,목,2,소규모강의
Z3A5A6,교양음악실기1(바이올린),음악실기수업,교선,3,3,배윤진,월,5,월,6,소규모강의
Z3D3D4,교양음악실기1(색소폰),음악실기수업,교선,3,3,노정진,목,3,목,4,소규모강의
Z3B1B2,교양음악실기1(송라이팅),음악실기수업,교선,3,3,김철수,화,1,화,2,영어100.소규모강의
Z3A5A6,교양음악실기1(첼로),음악실기수업,교선,3,3,정연재,월,5,월,6,소규모강의
Z3C5C6,교양음악실기1(클라리넷),음악실기수업,교선,3,3,김진규,수,5,수,6,소규모강의
Z3A3A4,교양음악실기1(클래식기타),음악실기수업,교선,3,3,유태성,월,3,월,4,소규모강의
Z3D1D2,교양음악실기1(키보드테크닉),음악실기수업,교선,3,3,김철수,목,1,목,2,영어100.소규모강의
Z3B5B6,교양음악실기1(플루트),음악실기수업,교선,3,3,조선낭,화,5,화,6,소규모강의
Z3C1C2,힙합프로듀싱1,음악실기수업,교선,3,3,김철수,수,1,수,2,영어100.소규모강의
Z3A7A8A9,교양음악실기2(바이올린),음악실기수업,교선,3,3,배윤진,월,7.8.9,,,소규모강의
Z3D5D6,교양음악실기2(플루트),음악실기수업,교선,3,3,조선낭,목,5,목,6,소규모강의
Z3A5A6,교양음악실기2(클래식기타),음악실기수업,교선,3,3,유태성,월,5,월,6,소규모강의
Z3D3D4,교양음악실기2(키보드테크닉),음악실기수업,교선,3,3,김철수,목,3,목,4,영어100.소규모강의
Z3C7C8C9,실내악앙상블1,음악실기수업,교선,3,3,김진규,수,7.8.9,,,소규모강의
Z3C5C6,드로잉,미술실기수업,교선,3,3,김문석,수,5,수,6,소규모강의
Z3B5B6,드로잉,미술실기수업,교선,3,3,윤지현,화,5,화,6,소규모강의
Z3C1C2,일러스트레이션,미술실기수업,교선,3,3,김문석,수,1,수,2,소규모강의
Z3B3B4,일러스트레이션,미술실기수업,교선,3,3,윤지현,화,3,화,4,소규모강의
Z2E3E4,골프,체육실기수업,교선,2,2,설수황,금,3,금,4,소규모강의
Z2E5E6,골프,체육실기수업,교선,2,2,설수황,금,5,금,6,소규모강의
Z2A3A4,댄스스포츠,체육실기수업,교선,2,2,진지형,월,3,월,4,소규모강의
Z2D5D6,수상스키,체육실기수업,교선,2,2,최석환,목,5,목,6,소규모강의
Z2C3C4,스케이팅,체육실기수업,교선,2,2,정재은,수,3,수,4,소규모강의
Z2C5C6,스케이팅,체육실기수업,교선,2,2,정재은,수,5,수,6,소규모강의
Z2C1C2,승마,체육실기수업,교선,2,2,박석,수,1,수,2,소규모강의
Z2C3C4,승마,체육실기수업,교선,2,2,박석,수,3,수,4,소규모강의
Z2B1B2,요가,체육실기수업,교선,2,2,홍승연,화,1,화,2,소규모강의
Z2B3B4,요가,체육실기수업,교선,2,2,홍승연,화,3,화,4,소규모강의
Z2A5A6,웰니스트레이닝,체육실기수업,교선,2,2,진지형,월,5,월,6,소규모강의
Z2C5A6,웰니스트레이닝,체육실기수업,교선,2,2,박재호,수,5,월,6,소규모강의
Z2A1A2,윈드서핑,체육실기수업,교선,2,2,유정완,월,1,월,2,소규모강의
Z2C3C4,축구,체육실기수업,교선,2,2,남용우,수,3,수,4,소규모강의
Z2C5C6,축구,체육실기수업,교선,2,2,남용우,수,5,수,6,소규모강의
Z2D3D4,탁구,체육실기수업,교선,2,2,박현애,목,3,목,4,소규모강의
Z2D5D6,탁구,체육실기수업,교선,2,2,박현애,목,5,목,6,소규모강의
Z2C1C2,호신술,체육실기수업,교선,2,2,박재호,수,1,수,2,소규모강의
Z2C3C4,호신술,체육실기수업,교선,2,2,박재호,수,3,수,4,소규모강의
Z3C5C6,대중문화와삶,,교선,3,3,하효숙,수,5,수,6,
Z3C7C8C9,대중문화와삶,,교선,3,3,하효숙,수,7.8.9,,,
Z1D5D6,심층탐구예술의이해,,교선,1,1,노정진,목,5,목,6,옴니버스형강의
Z3B1D2,영화의이해,,교선,3,3,김서영,화,1,목,2,영어100
Z3A5A6,영화의이해,,교선,3,3,이대범,월,5,월,6,
